# num seqs up to 12/31 of the indicated year
# collected on June 13, 2024 from NCBI virus: https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/
# by restricting 'release date' to between 1/1/1900 and 12/31 of each
# year
# note: in graph, there is an off-by-one with the years, the flu A
# count of 2575 is included for 2000 (not 1999) because that's how
# many sequences there were as of Jan 1 2000
A 1999 2575
A 2000 3226
A 2001 4307
A 2002 5366
A 2003 7679
A 2004 10436
A 2005 18619
A 2006 36374
A 2007 53283
A 2008 72135
A 2009 125656
A 2010 166942
A 2011 204788
A 2012 248711
A 2013 306582
A 2014 354111
A 2015 407494 
A 2016 471109
A 2017 540762
A 2018 601007
A 2019 702762
A 2020 767739
A 2021 797507
A 2022 871510
A 2023 982490
#
B 1999 517
B 2000 549
B 2001 673
B 2002 905
B 2003 1071
B 2004 1576
B 2005 1929
B 2006 3372
B 2007 4436
B 2008 5887
B 2009 9419
B 2010 9823
B 2011 11545
B 2012 13894
B 2013 25077
B 2014 30276
B 2015 37839
B 2016 60308
B 2017 77191
B 2018 91528
B 2019 103164
B 2020 116764
B 2021 118138
B 2022 119553
B 2023 126978
#
C 1999 169
C 2000 223          
C 2001 226
C 2002 336
C 2003 494
C 2004 676
C 2005 718
C 2006 723
C 2007 740
C 2008 757
C 2009 1172
C 2010 1194
C 2011 1198
C 2012 1229
C 2013 1248
C 2014 1289
C 2015 1462
C 2016 2071
C 2017 2144
C 2018 2178
C 2019 2205
C 2020 2260
C 2021 2408
C 2022 2454
C 2023 2620
# 
D 1999 0 
D 2000 0
D 2001 0
D 2002 0
D 2003 0
D 2004 0
D 2005 0
D 2006 0
D 2007 0
D 2008 0
D 2009 0
D 2010 0
D 2011 0
D 2012 7
D 2013 7
D 2014 91
D 2015 129
D 2016 164
D 2017 239
D 2018 269
D 2019 487
D 2020 951
D 2021 1154
D 2022 1459
D 2023 1481
